Table 19.  California - Race and Hispanic Origin:  1850 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"29,760,021","20,524,327","2,208,801","242,164","2,845,659","3,939,070","7,687,938","17,029,126"
.   Sample ................................................................................,"29,760,021","20,555,653","2,198,766","248,929","2,847,835","3,908,838","7,557,550","17,093,961"
1980 ...............................................................................,"23,667,902","18,030,893","1,819,281","201,369","1,253,818","2,362,541","4,544,331","15,763,992"
.   Sample ................................................................................,"23,667,902","18,221,353","1,818,660","231,702","1,312,973","2,083,214","4,541,300","15,850,775"
1970 ...............................................................................,"19,953,134","17,761,032","1,400,143","91,018","552,364","148,577",(NA),(NA)
.   15% sample/1 ...............................................................................,"19,957,304","17,856,046","1,397,138","88,271",(NA),(NA),"2,738,513","15,222,210"
.   5% sample ...............................................................................,"19,953,134","17,849,792","1,399,558",(NA),(NA),(NA),"2,369,292","15,563,814"
1960 ................................................................................,"15,717,204","14,455,230","883,861","39,014","318,376","20,723",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"10,586,223","9,915,173","462,172","19,947","183,704","5,227",(NA),(NA)
1940/2 ...............................................................................,"6,907,387","6,596,763","124,306","18,675","167,643",(X),"415,113","6,181,650"
.   5% sample/2 ...............................................................................,(NA),"6,613,080",(NA),(NA),(NA),(X),"416,140","6,196,940"
1930 ................................................................................,"5,677,251","5,408,260","81,048","19,212","168,731",(X),(NA),(NA)
1920 ................................................................................,"3,426,861","3,264,711","38,763","17,360","106,027",(X),(NA),(NA)
1910 ...............................................................................,"2,377,549","2,259,672","21,645","16,371","79,861",(X),(NA),(NA)
1900 ..............................................................................,"1,485,053","1,402,727","11,045","15,377","55,904",(X),(NA),(NA)
1890/3 ...............................................................................,"1,213,398","1,111,833","11,322","16,624","73,619",(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,208,130","1,111,672","11,322","11,517","73,619",(X),(NA),(NA)
1880  ...............................................................................,"864,694","767,181","6,018","16,277","75,218",Black,,
1870  ...............................................................................,"560,247","499,424","4,272","7,241","49,310",Total,Free,Slave
1860  ..............................................................................,"379,994","323,177","4,086","17,798","34,933","4,086","4,086",-
1850  ...............................................................................,"92,597","91,635",962,(NA),(NA),962,962,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,69.0,7.4,0.8,9.6,13.2,25.8,57.2
.   Sample ................................................................................,100.0,69.1,7.4,0.8,9.6,13.1,25.4,57.4
1980 ...............................................................................,100.0,76.2,7.7,0.9,5.3,10.0,19.2,66.6
.   Sample ................................................................................,100.0,77.0,7.7,1.0,5.5,8.8,19.2,67.0
1970 ...............................................................................,100.0,89.0,7.0,0.5,2.8,0.7,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,89.5,7.0,0.4,(NA),(NA),13.7,76.3
.   5% sample ...............................................................................,100.0,89.5,7.0,(NA),(NA),(NA),11.9,78.0
1960 ................................................................................,100.0,92.0,5.6,0.2,2.0,0.1,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,93.7,4.4,0.2,1.7,-,(NA),(NA)
1940 ...............................................................................,100.0,95.5,1.8,0.3,2.4,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),6.0,89.5
1930 ................................................................................,100.0,95.3,1.4,0.3,3.0,(X),(NA),(NA)
1920 ................................................................................,100.0,95.3,1.1,0.5,3.1,(X),(NA),(NA)
1910 ...............................................................................,100.0,95.0,0.9,0.7,3.4,(X),(NA),(NA)
1900 ..............................................................................,100.0,94.5,0.7,1.0,3.8,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,91.6,0.9,1.4,6.1,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,92.0,0.9,1.0,6.1,(X),(NA),(NA)
1880  ...............................................................................,100.0,88.7,0.7,1.9,8.7,Black,,
1870  ...............................................................................,100.0,89.1,0.8,1.3,8.8,Total,Free,Slave
1860  ..............................................................................,100.0,85.0,1.1,4.7,9.2,100.0,100.0,-
1850  ...............................................................................,100.0,99.0,1.0,(NA),(NA),100.0,100.0,-
Footnotes:,,,,,,,,
 - Rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language. 2/Hispanic origin based on the White population of,,,,,,,,
    Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the 100-percent,,,,,,,,
    count of the total population. These estimates are in italics.  See Table E-6 and text.  3/Includes Indian reservations. 4/Excludes Indian reservations.   ,,,,,,,,
Source:  U.S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
