Geography,Total,White,Black,Asian,Other,Hispanic,Non-Hispanic,Native
Alabama,4447100,3199953,1168998,39458,38201,75830,4371270,47618
Alaska,626932,463999,27147,32686,15151,25852,601080,124756
Arizona,5130632,3998154,185599,118672,677392,1295617,3835015,305967
Arkansas,2673400,2170534,427152,25401,48267,86866,2586534,40131
California,33871648,21490973,2513041,4155685,6575625,10966556,22905092,849020
Colorado,4301261,3665638,190717,120779,364846,735601,3565660,89842
Connecticut,3405565,2835974,339078,95368,186234,320323,3085242,28564
Delaware,783600,594425,157152,18944,20391,37277,746323,6740
District of Columbia,572059,184309,350455,17956,28627,44953,527106,5560
Florida,15982378,12734292,2471730,333013,697074,2682715,13299663,141878
Georgia,8186453,5412371,2393425,199812,241298,435227,7751226,62886
Hawaii,1211537,476162,33343,703232,47603,87699,1123838,307549
Idaho,1293953,1201113,8127,17390,64389,101690,1192263,30084
Illinois,12419293,9322831,1937671,473649,847369,1530262,10889031,85009
Indiana,6080485,5387174,538015,72839,119586,214536,5865949,43630
Iowa,2926324,2777183,72512,43119,46858,82473,2843851,20442
Kansas,2688418,2363412,170610,56049,107789,188252,2500166,50480
Kentucky,4041769,3678740,311878,37062,31805,59939,3981830,27714
Louisiana,4468976,2894983,1468317,64350,47775,107738,4361238,46115
Maine,1274923,1247776,9553,11827,5227,9360,1265563,13948
Maryland,5296486,3465697,1525036,238408,134621,227916,5068570,45616
Massachusetts,6349097,5472809,398479,264814,320907,428729,5920368,46754
Michigan,9938444,8133283,1474613,208329,195724,323877,9614567,131688
Minnesota,4919479,4466325,202972,162414,89042,143382,4776097,86941
Mississippi,2844658,1761658,1041708,23281,18635,39569,2805089,21456
Missouri,5595211,4819487,655377,76210,64880,118592,5476619,66734
Montana,902195,831978,4441,7101,7834,18081,884114,67397
Nebraska,1711263,1554164,75833,26809,55996,94425,1616838,23937
Nevada,1998257,1565866,150508,112456,193720,393970,1604287,58456
New Hampshire,1235786,1198927,12218,19219,10895,20489,1215297,8662
New Jersey,8414350,6261187,1211750,524356,583527,1117191,7297159,59169
New Mexico,1819046,1272116,42412,26619,352963,765386,1053660,194544
New York,18976457,13275834,3234165,1169200,1721699,2867583,16108874,200193
North Carolina,8049313,5884608,1776283,136212,223222,378963,7670350,140310
North Dakota,642200,599918,5372,4967,4042,7786,634414,35703
Ohio,11353140,9779512,1372501,159776,128671,217123,11136017,83059
Oklahoma,3450654,2770035,284766,58723,102585,179304,3271350,397072
Oregon,3421399,3055670,72647,127339,176866,275314,3146085,101686
Pennsylvania,12281054,10596409,1289123,248601,238700,394088,11886966,61440
Rhode Island,1048319,910630,58051,28290,69002,90820,957499,12508
South Carolina,4012012,2727208,1200901,44931,51346,95076,3916936,31234
South Dakota,754844,678604,6687,6009,5351,10903,743941,68837
Tennessee,5689283,4617553,953349,68918,72929,123838,5565445,43775
Texas,20851820,15240387,2493057,644193,2766586,6669666,14182154,244693
Utah,2233169,2034448,24382,48692,113950,201559,2031610,61812
Vermont,608827,596079,4492,6622,2727,5504,603323,6704
Virginia,7078515,5233601,1441207,304559,190308,329540,6748975,62848
Washington,5894121,5003180,238398,395741,287400,441509,5452612,201701
West Virginia,1808344,1733390,62817,11873,5579,12279,1796065,11531
Wisconsin,5363675,4827514,326506,102768,104662,192921,5170754,73696
Wyoming,493782,462902,4863,4107,15610,31669,462113,15626
